# Posted topics log — do not delete. The script appends here automatically.2026-05-19T12:56:57.020558 | Why I read code more than I write it most days
2026-05-19T14:31:03.664437 | Comparing two ML frameworks I've used in production
2026-05-20T06:47:21.763286 | My take on the current state of AI coding assistants from a daily user's perspective
2026-05-20T12:08:21.580333 | A non-obvious lesson from shipping an ML model to production
2026-05-21T06:52:27.806474 | Debugging a memory leak in a long-running Python service
2026-05-22T06:48:37.220051 | What "senior engineer" actually means to me now vs three years ago
2026-05-23T06:11:34.644672 | The case for boring technology choices in startups
2026-05-24T06:36:12.370445 | A bug that took me hours to find and what I learned from it
2026-05-25T07:13:41.211674 | The trade-offs of building vs. buying for internal tools
2026-05-26T06:44:33.108650 | A small refactor that had an outsized impact
2026-05-27T07:02:45.884560 | How I structure prompts for production LLM features
2026-05-28T06:53:17.168568 | One thing I wish I knew when I started doing full-stack work
2026-05-29T06:54:03.556155 | How I evaluate whether a new framework is worth learning
2026-05-30T06:22:07.481984 | The hidden cost of microservices for small teams
2026-05-31T06:56:48.726160 | Why I switched from REST to GraphQL (or back) for a recent project
2026-06-01T08:33:13.240620 | FREESTYLE: Pick an interesting technical or career topic from full-stack, AI/ML, or developer life. Make it feel authentic and specific.
2026-06-02T07:23:11.356013 | FREESTYLE: Pick an interesting technical or career topic from full-stack, AI/ML, or developer life. Make it feel authentic and specific.
2026-06-03T08:14:42.044447 | FREESTYLE: Pick an interesting technical or career topic from full-stack, AI/ML, or developer life. Make it feel authentic and specific.
2026-06-04T07:23:14.696749 | FREESTYLE: Pick an interesting technical or career topic from full-stack, AI/ML, or developer life. Make it feel authentic and specific.
2026-06-05T07:06:52.845630 | FREESTYLE: Pick an interesting technical or career topic from full-stack, AI/ML, or developer life. Make it feel authentic and specific.
2026-06-06T06:28:51.228939 | FREESTYLE: Pick an interesting technical or career topic from full-stack, AI/ML, or developer life. Make it feel authentic and specific.
2026-06-07T07:04:24.777142 | FREESTYLE: Pick an interesting technical or career topic from full-stack, AI/ML, or developer life. Make it feel authentic and specific.
2026-06-08T07:29:14.591956 | FREESTYLE: Pick an interesting technical or career topic from full-stack, AI/ML, or developer life. Make it feel authentic and specific.
2026-06-09T06:48:17.218482 | FREESTYLE: Pick an interesting technical or career topic from full-stack, AI/ML, or developer life. Make it feel authentic and specific.
2026-06-09T11:44:53.261831 | FREESTYLE: Pick an interesting technical or career topic from full-stack, AI/ML, or developer life. Make it feel authentic and specific.
2026-06-10T07:07:32.415493 | FREESTYLE: Pick an interesting technical or career topic from full-stack, AI/ML, or developer life. Make it feel authentic and specific.
2026-06-12T07:21:16.440685 | FREESTYLE: Pick an interesting technical or career topic from full-stack, AI/ML, or developer life. Make it feel authentic and specific.
2026-06-13T06:57:25.993709 | FREESTYLE: Pick an interesting technical or career topic from full-stack, AI/ML, or developer life. Make it feel authentic and specific.
